1790,George Washington,22.344429
1790,George Washington,18.267303
1791,George Washington,20.588778
1792,George Washington,18.47065
1793,George Washington,18.434193
1794,George Washington,19.30045
1795,George Washington,20.303322
1796,George Washington,18.910097
1797,John Adams,18.461609
1798,John Adams,19.586447
1799,John Adams,21.346632
1800,John Adams,19.14392
1801,Thomas Jefferson,18.487514
1802,Thomas Jefferson,16.854036
1803,Thomas Jefferson,20.516714
1804,Thomas Jefferson,18.700968
1805,Thomas Jefferson,16.823174
1806,Thomas Jefferson,17.874374
1807,Thomas Jefferson,18.094046
1808,Thomas Jefferson,18.816023
