city,2013,2009-2012,1.0,0.0,1.0,2
air,2013,2009-2012,1.0,0.0,1.0,2
communities,2013,2009-2012,2.6666666666666665,1.5275252316519468,5.7217171299705605,8
counterterrorism,2013,2009-2012,1.0,0.0,1.0,2
pockets,2013,2009-2012,1.0,0.0,1.0,2
rebuilding,2013,2009-2012,1.3333333333333333,0.5773502691896258,2.488033871712585,3
housing,2013,2009-2012,2.0,1.0,4.0,5
process,2013,2009-2012,1.0,0.0,1.0,2
sources,2013,2009-2012,1.0,0.0,1.0,2
fully,2013,2009-2012,1.0,0.0,1.0,3
confidence,2013,2009-2012,1.0,0.0,1.0,2
proposals,2013,2009-2012,1.0,0.0,1.0,3
wage,2013,2009-2012,1.0,0.0,1.0,7
border,2013,2009-2012,1.0,0.0,1.0,2
united,2013,2009-2012,5.666666666666667,1.5275252316519468,8.72171712997056,9
opportunities,2013,2009-2012,1.0,0.0,1.0,4
growth,2013,2009-2012,2.0,1.4142135623730951,4.82842712474619,6
towns,2013,2009-2012,1.0,0.0,1.0,3
todays,2013,2009-2012,1.0,0.0,1.0,4
drive,2013,2009-2012,1.0,0.0,1.0,2
